Strain_id,cell_line,aver_toxicity,se
Aa3_DN71_7G3_2,A549,3.536997795,2.537224989
Aa3_DN71_7G3_2,A2058,0,0
Aa3_DN71_7G3_2,HepG2,24.14953041,0.582798156
Aa3_DN71_7G3_2,MCF7,3.549034476,0.912386749
Aa3_DN71_7G3_2,MiaPaca2,0,0
Aa3_DN216_4B10_2,A549,15.91277854,1.548508623
Aa3_DN216_4B10_2,A2058,2.829704483,0.39016827
Aa3_DN216_4B10_2,HepG2,44.03738403,0.580057541
Aa3_DN216_4B10_2,MCF7,8.960439841,2.357139052
Aa3_DN216_4B10_2,MiaPaca2,0,0
Aa3_DN213_3F7,A549,59.54222107,2.795828904
Aa3_DN213_3F7,A2058,47.1879158,0.33869115
Aa3_DN213_3F7,HepG2,76.63551331,0.219261335
Aa3_DN213_3F7,MCF7,27.64519183,0.917534844
Aa3_DN213_3F7,MiaPaca2,32.52356752,5.43075994
Aa3_DN216_4B10_1,A549,0,0
Aa3_DN216_4B10_1,A2058,0.620404621,0.539084222
Aa3_DN216_4B10_1,HepG2,18.09345818,0.709113967
Aa3_DN216_4B10_1,MCF7,0,0
Aa3_DN216_4B10_1,MiaPaca2,8.777815898,1.543317705
Aa3_DN30_1H2,A549,0,0
Aa3_DN30_1H2,A2058,11.90669096,4.110418627
Aa3_DN30_1H2,HepG2,8.448600769,1.281944642
Aa3_DN30_1H2,MCF7,0,0
Aa3_DN30_1H2,MiaPaca2,0,0
Aa3_DN73_5E10_2,A549,52.71981303,3.701761507
Aa3_DN73_5E10_2,A2058,57.4942805,0.285845353
Aa3_DN73_5E10_2,HepG2,61.38317871,0.090426715
Aa3_DN73_5E10_2,MCF7,30.35568682,0.910551461
Aa3_DN73_5E10_2,MiaPaca2,22.85738246,5.679462599
Pf1_DN14_7A9_1,A549,41.03502274,0
Pf1_DN14_7A9_1,A2058,32.79703267,0
Pf1_DN14_7A9_1,HepG2,56.82242966,0
Pf1_DN14_7A9_1,MCF7,16.87329102,0
Pf1_DN14_7A9_1,MiaPaca2,4.732862314,0
Aa3_DN138_5C8,A549,21.46663062,1.428456189
Aa3_DN138_5C8,A2058,4.782951196,0.350136515
Aa3_DN138_5C8,HepG2,37.45794296,0.745195022
Aa3_DN138_5C8,MCF7,0,0
Aa3_DN138_5C8,MiaPaca2,0,0
Cc1_DN217_4H2,A549,0.589619478,1.520396495
Cc1_DN217_4H2,A2058,0,0
Cc1_DN217_4H2,HepG2,13.90654182,0.573785805
Cc1_DN217_4H2,MCF7,0,0
Cc1_DN217_4H2,MiaPaca2,0,0
Pf1_DN81_6F7_2,A549,22.68563875,1.536514012
Pf1_DN81_6F7_2,A2058,29.63791847,0.558222355
Pf1_DN81_6F7_2,HepG2,63.40187073,0.363438777
Pf1_DN81_6F7_2,MCF7,5.063751539,0.487903621
Pf1_DN81_6F7_2,MiaPaca2,14.80661138,2.201645105
Aa3_DN166_3E9_2,A549,8.182802295,1.693570886
Aa3_DN166_3E9_2,A2058,5.293506225,0.584220373
Aa3_DN166_3E9_2,HepG2,24.07476997,0.180460378
Aa3_DN166_3E9_2,MCF7,0,0
Aa3_DN166_3E9_2,MiaPaca2,0,0
Acac_Ps_AB113,A549,0,0
Acac_Ps_AB113,A2058,1.721828888,0.607192928
Acac_Ps_AB113,HepG2,7.700938225,0.507414551
Acac_Ps_AB113,MCF7,0,0
Acac_Ps_AB113,MiaPaca2,0,0
Aa3_Str.68_7G12,A549,2.847886682,0.818169343
Aa3_Str.68_7G12,A2058,0,0
Aa3_Str.68_7G12,HepG2,25.94392586,0.434410437
Aa3_Str.68_7G12,MCF7,0.550131321,1.951135719
Aa3_Str.68_7G12,MiaPaca2,4.571659724,3.18094854
Cn_Ps_AB111,A549,0,0
Cn_Ps_AB111,A2058,0,0
Cn_Ps_AB111,HepG2,12.03738499,0.785224592
Cn_Ps_AB111,MCF7,0,0
Cn_Ps_AB111,MiaPaca2,4.375590881,2.687517085
Pf1_Ps_8H06,A549,7.714523991,1.238652303
Pf1_Ps_8H06,A2058,0.522300442,0.756105174
Pf1_Ps_8H06,HepG2,30.13084221,0.58930453
Pf1_Ps_8H06,MCF7,0,0
Pf1_Ps_8H06,MiaPaca2,0,0
Aa3_DN64_1D3,A549,58.49433899,3.08319373
Aa3_DN64_1D3,A2058,45.03105545,0.886738159
Aa3_DN64_1D3,HepG2,62.05607605,0.777393638
Aa3_DN64_1D3,MCF7,19.85148748,1.140824463
Aa3_DN64_1D3,MiaPaca2,31.25133864,5.237832447
Pf1_DN64_8G1,A549,73.1772054,2.538159151
Pf1_DN64_8G1,A2058,84.03321075,0.555974487
Pf1_DN64_8G1,HepG2,75.28971863,0.442482377
Pf1_DN64_8G1,MCF7,37.13514964,0.411612756
Pf1_DN64_8G1,MiaPaca2,69.1740214,3.086086479
Irc_Ps_AB108,A549,1.025099913,1.105947637
Irc_Ps_AB108,A2058,1.783266076,0.50923068
Irc_Ps_AB108,HepG2,27.81308365,0.831037386
Irc_Ps_AB108,MCF7,0,0
Irc_Ps_AB108,MiaPaca2,9.232851004,2.366181421
Pf1_DN206_4B7,A549,2.01229922,2.794035024
Pf1_DN206_4B7,A2058,0,0
Pf1_DN206_4B7,HepG2,29.83177948,0.813717344
Pf1_DN206_4B7,MCF7,0,0
Pf1_DN206_4B7,MiaPaca2,0,0
Pf1_Ps_8H04_1,A549,31.97973315,3.240136704
Pf1_Ps_8H04_1,A2058,6.945402622,0.347731789
Pf1_Ps_8H04_1,HepG2,54.05607605,0.579898895
Pf1_Ps_8H04_1,MCF7,7.755780379,0.609720614
Pf1_Ps_8H04_1,MiaPaca2,8.430525661,3.344678073
Aa3_DN55_6A7,A549,0,0
Aa3_DN55_6A7,A2058,0,0
Aa3_DN55_6A7,HepG2,32.22430038,0.677222981
Aa3_DN55_6A7,MCF7,0,0
Aa3_DN55_6A7,MiaPaca2,0,0
